x y z t
0.077 -0.084 10.023 5
0.077 -0.084 10.023 5
0.077 -0.084 10.023 5
-0.324 0.059 9.86 6
-0.324 0.059 9.86 5
-0.324 0.059 9.86 4
-0.324 0.059 9.86 5
0.038 0.145 9.678 6
0.038 0.145 9.678 4
0.038 0.145 9.678 6
0.038 0.145 9.678 5
0.297 0.308 9.161 4
0.297 0.308 9.161 5
0.297 0.308 9.161 5
0.297 0.308 9.161 5
0.22 0.241 9.582 6
0.22 0.241 9.582 5
0.22 0.241 9.582 4
0.201 0.04 9.793 5
0.201 0.04 9.793 5
0.201 0.04 9.793 5
0.201 0.04 9.793 5
-0.238 -0.113 9.611 6
-0.238 -0.113 9.611 4
-0.238 -0.113 9.611 5
-0.238 -0.113 9.611 5
-0.095 0.03 9.602 5
-0.095 0.03 9.602 5
-0.095 0.03 9.602 6
-0.095 0.03 9.602 5
0.402 0.135 9.458 4
0.402 0.135 9.458 5
0.402 0.135 9.458 5
0.402 0.135 9.458 5
0.173 0.356 9.515 6
0.173 0.356 9.515 5
0.173 0.356 9.515 4
0.173 0.356 9.515 5
-0.037 -0.065 9.841 5
-0.037 -0.065 9.841 5
-0.037 -0.065 9.841 6
-0.037 -0.065 9.841 5
-0.171 -0.113 9.755 4
-0.171 -0.113 9.755 5
-0.171 -0.113 9.755 5
-0.171 -0.113 9.755 5
0.249 0.231 9.324 5
0.249 0.231 9.324 6
0.249 0.231 9.324 4
0.249 0.231 9.324 5
0.249 0.164 9.64 5
0.249 0.164 9.64 5
0.249 0.164 9.64 5
0.249 0.164 9.64 6
0.019 0.107 10.013 5
0.019 0.107 10.013 4
0.019 0.107 10.013 5
0.019 0.107 10.013 5
0.096 -0.007 9.391 5
0.096 -0.007 9.391 6
0.096 -0.007 9.391 5
0.096 -0.007 9.391 4
0.201 0.269 9.037 5
0.201 0.269 9.037 5
0.201 0.269 9.037 5
-0.028 0.001 9.822 6
-0.028 0.001 9.822 5
-0.028 0.001 9.822 4
-0.028 0.001 9.822 5
0.153 0.183 10.195 5
0.153 0.183 10.195 5
0.153 0.183 10.195 5
0.153 0.183 10.195 6
0.211 0.068 9.333 4
0.211 0.068 9.333 5
0.211 0.068 9.333 5
0.211 0.068 9.333 5
0.029 0.116 9.199 5
0.029 0.116 9.199 6
0.029 0.116 9.199 5
0.029 0.116 9.199 4
0.134 0.183 9.381 5
0.134 0.183 9.381 5
0.134 0.183 9.381 5
0.134 0.183 9.381 6
0.144 0.068 9.87 5
0.144 0.068 9.87 4
0.144 0.068 9.87 6
0.144 0.068 9.87 4
0.048 0.097 10.052 5
0.048 0.097 10.052 6
0.048 0.097 10.052 5
0.048 0.097 10.052 4
-0.008 0.049 9.669 5
-0.008 0.049 9.669 5
-0.008 0.049 9.669 5
-0.008 0.049 9.669 5
0.24 0.174 9.008 6
0.24 0.174 9.008 4
0.24 0.174 9.008 5
0.24 0.174 9.008 5
0.316 0.011 9.726 5
0.316 0.011 9.726 5
0.316 0.011 9.726 6
0.316 0.011 9.726 5
-0.114 0.155 9.084 4
-0.114 0.155 9.084 5
-0.114 0.155 9.084 5
-0.114 0.155 9.084 5
-0.114 -0.007 10.205 6
-0.114 -0.007 10.205 5
-0.114 -0.007 10.205 4
0.058 0.107 9.592 5
0.058 0.107 9.592 5
0.058 0.107 9.592 5
0.058 0.107 9.592 6
0.268 0.107 9.305 5
0.268 0.107 9.305 4
0.268 0.107 9.305 5
0.268 0.107 9.305 5
0.096 0.202 9.812 5
0.096 0.202 9.812 5
0.096 0.202 9.812 6
0.096 0.202 9.812 4
0.029 0.02 10.013 5
0.029 0.02 10.013 5
0.029 0.02 10.013 5
0.029 0.02 10.013 6
-0.104 -0.036 9.075 5
-0.104 -0.036 9.075 5
-0.104 -0.036 9.075 4
-0.104 -0.036 9.075 5
0.173 0.26 9.314 5
0.173 0.26 9.314 5
0.173 0.26 9.314 6
0.173 0.26 9.314 5
0.297 0.078 9.889 4
0.297 0.078 9.889 5
0.297 0.078 9.889 5
0.297 0.078 9.889 5
0.077 0.04 9.745 6
0.077 0.04 9.745 5
0.077 0.04 9.745 4
0.077 0.04 9.745 5
-0.056 -0.065 9.822 5
-0.056 -0.065 9.822 5
-0.056 -0.065 9.822 5
-0.056 -0.065 9.822 6
-0.171 0.241 8.941 4
-0.171 0.241 8.941 5
-0.171 0.241 8.941 5
-0.171 0.241 8.941 5
0.22 0.126 9.793 5
0.22 0.126 9.793 6
0.22 0.126 9.793 5
0.22 0.126 9.793 4
0.153 0.231 9.956 5
0.153 0.231 9.956 5
0.153 0.231 9.956 5
0.153 0.231 9.956 6
0.077 0.04 9.793 5
0.077 0.04 9.793 4
0.077 0.04 9.793 5
-0.066 0.087 9.659 5
-0.066 0.087 9.659 5
-0.066 0.087 9.659 6
-0.066 0.087 9.659 5
0.106 0.222 9.017 5
0.106 0.222 9.017 4
0.106 0.222 9.017 5
0.106 0.222 9.017 5
0.201 0.183 9.697 5
0.201 0.183 9.697 6
0.201 0.183 9.697 4
0.201 0.183 9.697 5
-0.133 -0.055 10.569 5
-0.133 -0.055 10.569 5
-0.133 -0.055 10.569 5
-0.133 -0.055 10.569 6
0.029 0.078 9.697 5
0.029 0.078 9.697 4
0.029 0.078 9.697 5
0.029 0.078 9.697 5
0.297 0.298 8.472 5
0.297 0.298 8.472 6
0.297 0.298 8.472 5
0.297 0.298 8.472 4
0.153 -0.122 10.071 5
0.153 -0.122 10.071 5
0.153 -0.122 10.071 5
0.153 -0.122 10.071 6
-0.219 0.135 9.956 5
