x y z t
-0.114 0.03 9.592 5
-0.114 0.03 9.592 5
-0.114 0.03 9.592 5
0.364 0.059 10.157 5
0.364 0.059 10.157 5
0.364 0.059 10.157 5
0.364 0.059 10.157 5
-0.085 0.107 8.96 5
-0.085 0.107 8.96 5
-0.085 0.107 8.96 5
-0.085 0.107 8.96 5
-0.19 -0.103 9.18 5
-0.19 -0.103 9.18 5
-0.19 -0.103 9.18 5
-0.19 -0.103 9.18 5
0.163 0.02 9.104 5
0.163 0.02 9.104 5
0.163 0.02 9.104 5
0.163 0.02 9.104 5
-0.095 0.193 9.362 5
-0.095 0.193 9.362 5
-0.095 0.193 9.362 5
0.0 0.011 10.827 5
0.0 0.011 10.827 5
0.0 0.011 10.827 5
0.0 0.011 10.827 5
-0.066 0.135 9.199 5
-0.066 0.135 9.199 5
-0.066 0.135 9.199 5
-0.066 0.135 9.199 5
-0.018 -0.017 9.966 5
-0.018 -0.017 9.966 5
-0.018 -0.017 9.966 5
-0.018 -0.017 9.966 5
0.077 0.193 9.113 5
0.077 0.193 9.113 5
0.077 0.193 9.113 5
0.077 0.193 9.113 5
0.163 -0.161 9.985 5
0.163 -0.161 9.985 5
0.163 -0.161 9.985 5
0.163 -0.161 9.985 5
-0.085 0.231 9.056 5
-0.085 0.231 9.056 5
-0.085 0.231 9.056 5
-0.085 0.231 9.056 5
