t,aX,aY,aZ
12.85,-1.022,-0.291,-1.219
12.871,-1.022,-0.291,-1.077
12.891,-1.110,-0.308,-1.060
12.912,-1.060,-0.341,-1.088
12.933,-0.901,-0.286,-1.115
12.953,-0.956,-0.181,-1.208
12.974,-0.873,-0.181,-1.115
12.995,-0.758,-0.033,-0.972
13.015,-0.829,0.033,-0.621
13.036,-0.829,0.033,-0.357
13.057,-0.758,0.016,-0.110
13.078,-0.857,-0.060,-0.071
13.098,-0.890,-0.115,-0.170
13.119,-0.840,-0.165,-0.313
13.14,-0.950,-0.143,-0.884
13.16,-1.022,-0.165,-1.187
13.181,-0.967,-0.038,-1.500
13.202,-1.071,0.110,-1.725
13.222,-1.082,0.110,-1.571
13.243,-0.934,0.280,-1.307
13.264,-1.027,0.368,-0.643
13.284,-0.928,0.368,-0.181
13.305,-0.736,0.423,0.341
13.326,-0.802,0.434,0.890
13.347,-0.764,0.396,1.115
13.367,-0.665,0.412,1.340
13.388,-0.764,0.494,1.439
13.409,-0.824,0.483,1.544
13.429,-0.676,0.665,1.697
13.45,-0.758,0.824,1.895
13.471,-0.615,0.835,1.939
13.491,-0.341,0.950,1.956
13.512,-0.390,1.005,1.609
13.533,-0.302,1.000,1.351
13.553,-0.209,1.038,0.967
13.574,-0.313,1.115,0.363
13.595,-0.494,1.121,0.115
13.616,-0.456,1.285,-0.165
13.636,-0.566,1.412,-0.291
13.657,-0.511,1.434,-0.275
13.678,-0.308,1.533,-0.181
13.698,-0.330,1.549,-0.159
13.719,-0.286,1.533,-0.225
13.74,-0.143,1.505,-0.308
13.76,-0.192,1.472,-0.489
13.781,-0.121,1.456,-0.505
13.802,0.126,1.467,-0.390
13.822,0.148,1.478,0.044
13.843,0.335,1.472,0.291
13.864,0.472,1.461,0.857
13.885,0.461,1.406,1.357
13.905,0.297,1.362,1.467
13.926,0.231,1.247,1.653
13.947,0.148,1.176,1.417
13.967,0.049,1.126,1.241
13.988,0.220,1.055,0.901
14.009,0.253,1.027,0.571
14.029,0.445,1.011,0.461
14.05,0.626,0.978,0.483
14.071,0.648,0.961,0.483
14.091,0.494,0.928,0.417
14.112,0.396,0.824,0.319
14.133,0.297,0.758,-0.071
14.154,0.049,0.698,-0.253
14.174,0.137,0.544,-0.516
14.195,0.143,0.527,-0.544
14.216,0.297,0.483,-0.577
14.236,0.560,0.511,-0.093
14.257,0.626,0.538,0.406
14.278,0.588,0.516,0.472
14.298,0.599,0.231,0.786
14.319,0.555,-0.027,0.456
14.34,0.247,-0.203,0.297
14.36,0.302,-0.500,-0.335
14.381,0.286,-0.500,-0.764
14.402,0.352,-0.538,-0.917
14.423,0.643,-0.544,-0.709
14.443,0.725,-0.555,-0.286
14.464,0.742,-0.604,-0.225
14.485,0.818,-0.901,0.187
14.505,0.791,-0.961,0.077
14.526,0.461,-1.038,0.005
14.547,0.483,-0.884,-0.396
14.567,0.445,-0.461,-0.709
14.588,0.401,-0.280,-0.818
14.609,0.698,0.115,-0.709
14.629,0.797,0.286,-0.527
14.65,0.879,0.313,-0.505
14.671,1.077,0.016,-0.500
14.692,1.126,-0.126,-0.950
14.712,0.956,-0.269,-1.071
14.733,1.049,-0.291,-1.862
14.754,1.055,-0.016,-2.466
14.774,1.005,0.104,-2.637
14.795,1.247,0.423,-3.005
14.816,1.340,0.571,-3.115
14.836,1.335,0.593,-3.170
14.857,1.483,0.390,-3.115
14.878,1.511,0.319,-3.060
14.898,1.324,0.236,-3.065
14.919,1.406,0.346,-2.856
14.94,1.417,0.637,-2.521
14.961,1.329,0.807,-2.444
14.981,1.423,1.187,-1.818
15.002,1.467,1.329,-1.291
15.023,1.291,1.373,-1.154
15.043,1.274,1.208,-0.709
15.064,1.241,1.038,-0.527
15.085,1.033,0.912,-0.505
15.105,1.093,0.829,-0.423
15.126,1.126,0.961,-0.313
15.147,1.170,1.033,-0.313
15.167,1.296,1.318,0.000
15.188,1.395,1.483,0.297
15.209,1.340,1.566,0.363
15.23,1.307,1.599,0.571
15.25,1.307,1.615,0.538
15.271,1.110,1.599,0.489
15.292,1.071,1.631,0.341
15.312,1.093,1.703,0.280
15.333,1.038,1.736,0.220
15.354,1.055,1.807,0.286
15.374,1.121,1.846,0.434
15.395,1.016,1.873,0.439
15.416,0.978,1.829,0.676
15.436,1.000,1.796,0.890
15.457,0.775,1.752,0.901
15.478,0.670,1.697,1.115
15.499,0.654,1.719,1.274
15.519,0.434,1.725,1.263
15.54,0.379,1.719,1.417
15.561,0.401,1.681,1.560
15.581,0.269,1.626,1.555
15.602,0.236,1.390,1.637
15.623,0.280,1.269,1.631
15.643,0.088,1.165,1.571
15.664,-0.011,1.082,1.373
15.685,0.005,1.126,1.148
15.705,-0.247,1.181,1.011
15.726,-0.324,1.241,0.709
15.747,-0.269,1.252,0.544
15.768,-0.401,1.252,0.428
15.788,-0.445,1.055,0.302
15.809,-0.374,0.950,0.275
15.83,-0.599,0.868,0.209
15.85,-0.687,0.769,0.192
15.871,-0.643,0.802,0.231
15.892,-0.879,0.862,0.203
15.912,-1.016,0.906,0.286
15.933,-1.033,0.906,0.302
15.954,-1.296,0.895,0.269
15.974,-1.291,0.648,0.148
15.995,-1.126,0.549,-0.016
16.016,-0.851,0.434,-0.104
16.037,-0.621,0.352,-0.286
16.057,-0.264,0.423,-0.324
16.078,-0.253,0.522,-0.368
16.099,-0.379,0.593,-0.324
16.119,-0.456,0.577,-0.280
16.14,-0.895,0.527,-0.302
16.161,-1.038,0.192,-0.439
16.181,-1.044,0.033,-0.725
16.202,-0.901,-0.154,-0.895
16.223,-0.736,-0.187,-1.412
16.243,-0.390,-0.060,-1.681
16.264,-0.132,0.121,-1.835
16.285,-0.143,0.439,-1.890
16.306,-0.110,0.500,-1.730
16.326,-0.445,0.500,-1.681
16.347,-0.632,0.016,-1.494
16.368,-0.709,-0.269,-1.428
16.388,-0.648,-0.681,-1.428
16.409,-0.599,-0.862,-1.571
16.43,-0.308,-0.802,-1.697
16.45,-0.088,-0.599,-1.780
16.471,-0.104,-0.390,-1.967
16.492,0.022,-0.401,-2.038
16.512,-0.110,-0.522,-2.115
16.533,-0.247,-1.000,-2.307
16.554,-0.275,-1.165,-2.439
16.575,-0.406,-1.346,-2.532
16.595,-0.522,-1.044,-2.856
