,train,test,features,f,k,domain
276,0.8091523478035659,0.7680655227083018,"['pp', 'aac', 'rms']",3,11,temporal
277,0.8080652866660017,0.7553548119639445,"['pp', 'aac', 'skewness']",3,11,temporal
278,0.7351076649009797,0.6777090581110681,"['pp', 'aac', 'kurtosis']",3,11,temporal
279,0.7945119511977446,0.7312633401119308,"['pp', 'aac', 'shape']",3,11,temporal
280,0.803129063135993,0.7580270359601798,"['pp', 'aac', 'crest']",3,11,temporal
281,0.8072278366048413,0.7623799039792047,"['pp', 'aac', 'impulse']",3,11,temporal
282,0.8033791291961313,0.7630499207296235,"['pp', 'aac', 'clearance']",3,11,temporal
283,0.7699971126032245,0.7182108984162732,"['pp', 'rms', 'skewness']",3,11,temporal
284,0.7203807513881377,0.6472658722822586,"['pp', 'rms', 'kurtosis']",3,11,temporal
285,0.7629685238752716,0.7034822944152198,"['pp', 'rms', 'shape']",3,11,temporal
286,0.6988790250748537,0.6265132798888534,"['pp', 'rms', 'crest']",3,11,temporal
287,0.701138439300795,0.6305182545951609,"['pp', 'rms', 'impulse']",3,11,temporal
288,0.7003856862117178,0.6321994588326246,"['pp', 'rms', 'clearance']",3,11,temporal
289,0.689508180082562,0.629183823241066,"['pp', 'skewness', 'kurtosis']",3,11,temporal
290,0.7891560226721894,0.7309288919513958,"['pp', 'skewness', 'shape']",3,11,temporal
291,0.7663988912396382,0.7101785404166876,"['pp', 'skewness', 'crest']",3,11,temporal
292,0.7710843137357839,0.7101824619194075,"['pp', 'skewness', 'impulse']",3,11,temporal
293,0.773258890994647,0.712193072385338,"['pp', 'skewness', 'clearance']",3,11,temporal
294,0.7204648183827428,0.6593082469202198,"['pp', 'kurtosis', 'shape']",3,11,temporal
295,0.6917681542884841,0.6191503784250124,"['pp', 'kurtosis', 'crest']",3,11,temporal
296,0.6974569209150772,0.634205587581161,"['pp', 'kurtosis', 'impulse']",3,11,temporal
297,0.6948630236469044,0.6362100356856748,"['pp', 'kurtosis', 'clearance']",3,11,temporal
298,0.7648930000752473,0.7148602544495051,"['pp', 'shape', 'crest']",3,11,temporal
299,0.761797430741851,0.709840730968107,"['pp', 'shape', 'impulse']",3,11,temporal
300,0.7610442226690396,0.7061623614168949,"['pp', 'shape', 'clearance']",3,11,temporal
